kind,name,detail
texture,RR_Block_Standard_CyanEmission,1024x1024 _EmissionMap
material,MAT_RR_Platform_Long,Universal Render Pipeline/Lit instancing=False
texture,RR_Platform_Long_Base,1024x1024 _MainTex
texture,RR_Platform_Long_Normal,1024x1024 _BumpMap
texture,RR_Platform_Long_Base,1024x1024 _BaseMap
texture,RR_Platform_Long_Metallic,1024x1024 _MetallicGlossMap
texture,RR_Platform_Long_CyanEmission,1024x1024 _EmissionMap
material,Flow Shard Cyan,Universal Render Pipeline/Lit instancing=False
material,RB Module Boost,Universal Render Pipeline/Lit instancing=False
texture,RydersRoad_GoldRoute_01,512x512 _MainTex
texture,RydersRoad_GoldRoute_01,512x512 _BaseMap
material,MAT_RR_EnergyPillar,Universal Render Pipeline/Lit instancing=False
texture,RR_EnergyPillar_Base,2048x2048 _MainTex
texture,RR_EnergyPillar_Normal,2048x2048 _BumpMap
texture,RR_EnergyPillar_Base,2048x2048 _BaseMap
texture,RR_EnergyPillar_Metallic,2048x2048 _MetallicGlossMap
texture,RR_EnergyPillar_CyanEmission,2048x2048 _EmissionMap
material,MAT_RR_BoostPad,Universal Render Pipeline/Lit instancing=False
texture,RR_BoostPad_Base,2048x2048 _MainTex
texture,RR_BoostPad_Normal,2048x2048 _BumpMap
texture,RR_BoostPad_Base,2048x2048 _BaseMap
texture,RR_BoostPad_Metallic,2048x2048 _MetallicGlossMap
texture,RR_BoostPad_CyanEmission,2048x2048 _EmissionMap
material,MAT_RR_World_Mountain_Rock,Universal Render Pipeline/Lit instancing=False
material,grass,Universal Render Pipeline/Lit instancing=False
material,_defaultMat,Universal Render Pipeline/Lit instancing=False
material,Cyan,Universal Render Pipeline/Lit instancing=False
material,grass,Universal Render Pipeline/Lit instancing=False
material,_defaultMat,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_World_Ancient_Sandstone,Universal Render Pipeline/Lit instancing=False
material,Warm,Universal Render Pipeline/Lit instancing=True
material,MAT_RR_PatchBlock,Universal Render Pipeline/Lit instancing=False
texture,RR_PatchBlock_Base,2048x2048 _MainTex
texture,RR_PatchBlock_Normal,2048x2048 _BumpMap
texture,RR_PatchBlock_Base,2048x2048 _BaseMap
texture,RR_PatchBlock_Metallic,2048x2048 _MetallicGlossMap
texture,RR_PatchBlock_CyanEmission,2048x2048 _EmissionMap
material,RB Module Moving,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_Crumble_Stage1,Universal Render Pipeline/Lit instancing=False
texture,RR_Crumble_Stage1_Base,1024x1024 _MainTex
texture,RR_Crumble_Stage1_Normal,1024x1024 _BumpMap
texture,RR_Crumble_Stage1_Base,1024x1024 _BaseMap
texture,RR_Crumble_Stage1_Metallic,1024x1024 _MetallicGlossMap
