world,stableID,sourceAsset,finalPrefab,processing,provenance
SkyCity,biome.sky-city.arrival.terrace,Assets/_Game/Art/Environment/SkyCity093/ArrivalTerrace.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.arrival.terrace.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.gateway.sun-portal,Assets/_Game/Art/Environment/SkyCity093/SunGateway.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.gateway.sun-portal.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.overlook.patch-terrace,Assets/_Game/Art/Environment/SkyCity093/PatchOverlook.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.overlook.patch-terrace.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.start,Assets/_Game/Art/Environment/Mountain094/Footing_m02.start.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.start.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.rhythm.01,Assets/_Game/Art/Environment/Mountain094/Footing_m02.rhythm.01.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.rhythm.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.rhythm.02,Assets/_Game/Art/Environment/Mountain094/Footing_m02.rhythm.02.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.rhythm.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.after-moving.01,Assets/_Game/Art/Environment/Mountain094/Footing_m02.after-moving.01.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.after-moving.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.after-moving.02,Assets/_Game/Art/Environment/Mountain094/Footing_m02.after-moving.02.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.after-moving.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.restore.platform,Assets/_Game/Art/Environment/Mountain094/Footing_m02.restore.platform.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.restore.platform.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.safe.01,Assets/_Game/Art/Environment/Mountain094/Footing_m02.safe.01.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.safe.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.safe.02,Assets/_Game/Art/Environment/Mountain094/Footing_m02.safe.02.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.safe.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.safe.03,Assets/_Game/Art/Environment/Mountain094/Footing_m02.safe.03.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.safe.03.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.safe.04,Assets/_Game/Art/Environment/Mountain094/Footing_m02.safe.04.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.safe.04.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.garden.exit,Assets/_Game/Art/Environment/Mountain094/Footing_m02.garden.exit.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.garden.exit.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.ridge.01,Assets/_Game/Art/Environment/Mountain094/Footing_m02.ridge.01.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.ridge.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.ridge.02,Assets/_Game/Art/Environment/Mountain094/Footing_m02.ridge.02.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.ridge.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.rejoin,Assets/_Game/Art/Environment/Mountain094/Footing_m02.rejoin.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.rejoin.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.lift.exit,Assets/_Game/Art/Environment/Mountain094/Footing_m02.lift.exit.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.lift.exit.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.ascent.01,Assets/_Game/Art/Environment/Mountain094/Footing_m02.ascent.01.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.ascent.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.ascent.02,Assets/_Game/Art/Environment/Mountain094/Footing_m02.ascent.02.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.ascent.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.ascent.03,Assets/_Game/Art/Environment/Mountain094/Footing_m02.ascent.03.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.ascent.03.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.ascent.04,Assets/_Game/Art/Environment/Mountain094/Footing_m02.ascent.04.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.ascent.04.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.final-runup,Assets/_Game/Art/Environment/Mountain094/Footing_m02.final-runup.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.final-runup.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.patch.base,Assets/_Game/Art/Environment/Mountain094/Footing_m02.patch.base.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.patch.base.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.risky.01,Assets/_Game/Art/Environment/Mountain094/Footing_m02.risky.01.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.risky.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.risky.02,Assets/_Game/Art/Environment/Mountain094/Footing_m02.risky.02.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.risky.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.risky.03,Assets/_Game/Art/Environment/Mountain094/Footing_m02.risky.03.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.risky.03.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.risky.04,Assets/_Game/Art/Environment/Mountain094/Footing_m02.risky.04.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.risky.04.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.risky.05,Assets/_Game/Art/Environment/Mountain094/Footing_m02.risky.05.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.risky.05.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.risky.06,Assets/_Game/Art/Environment/Mountain094/Footing_m02.risky.06.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.risky.06.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.footing.m02.mastery.lift-cut,Assets/_Game/Art/Environment/Mountain094/Footing_m02.mastery.lift-cut.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.footing.m02.mastery.lift-cut.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.arrival.cliff,Assets/_Game/Art/Environment/Mountain094/CliffsideArrival.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.arrival.cliff.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.pass.fractured-abutment,Assets/_Game/Art/Environment/Mountain094/BrokenMountainPass.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.pass.fractured-abutment.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.garden.waterfall-shrine,Assets/_Game/Art/Environment/Mountain094/WaterfallGarden.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.garden.waterfall-shrine.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.ridge.old-lift,Assets/_Game/Art/Environment/Mountain094/HighRidgeLift.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.ridge.old-lift.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.summit.stone-crown,Assets/_Game/Art/Environment/Mountain094/SummitStoneCrown.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.summit.stone-crown.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.garden.fractured-wall,Assets/_Game/Art/Environment/Mountain094/GardenCliffWall.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.garden.fractured-wall.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.ridge.fractured-wall,Assets/_Game/Art/Environment/Mountain094/WindwardCliffWall.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.ridge.fractured-wall.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.garden.valley-foundation,Assets/_Game/Art/Environment/Mountain094/GardenValleyFoundation.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.garden.valley-foundation.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
Mountain,biome.mountain-sky.ridge.upper-foundation,Assets/_Game/Art/Environment/Mountain094/UpperRidgeFoundation.prefab,Assets/_Game/Art/Environment/World170/Refit/Mountain/biome.mountain-sky.ridge.upper-foundation.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
AncientAbyss,biome.ancient-abyss.place.arrival-sanctuary,Assets/_Game/Art/Environment/Landmarks/PF_RR_M03_ArrivalSanctuary.prefab,Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
AncientAbyss,biome.ancient-abyss.place.broken-crossing,Assets/_Game/Art/Environment/Landmarks/PF_RR_M03_BrokenCrossing.prefab,Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
AncientAbyss,biome.ancient-abyss.place.collapsed-temple,Assets/_Game/Art/Environment/Landmarks/PF_RR_M03_CollapsedTemple.prefab,Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.collapsed-temple.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
AncientAbyss,biome.ancient-abyss.place.energy-spine,Assets/_Game/Art/Environment/Landmarks/PF_RR_M03_EnergySpine.prefab,Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.energy-spine.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
AncientAbyss,biome.ancient-abyss.place.patch-sanctum,Assets/_Game/Art/Environment/Landmarks/PF_RR_M03_PatchSanctum.prefab,Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.patch-sanctum.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SolarFoundry,biome.solar-foundry.service-spine,Assets/_Game/Art/Environment/Quality130/ServiceSpine130.prefab,Assets/_Game/Art/Environment/World170/Refit/SolarFoundry/biome.solar-foundry.service-spine.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SolarFoundry,biome.solar-foundry.intake-vessel,Assets/_Game/Art/Environment/Quality130/IntakeVessel130.prefab,Assets/_Game/Art/Environment/World170/Refit/SolarFoundry/biome.solar-foundry.intake-vessel.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SolarFoundry,biome.solar-foundry.reactor-vessel,Assets/_Game/Art/Environment/Quality130/ReactorVessel130.prefab,Assets/_Game/Art/Environment/World170/Refit/SolarFoundry/biome.solar-foundry.reactor-vessel.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SolarFoundry,biome.solar-foundry.crown-vessel,Assets/_Game/Art/Environment/Quality130/CrownVessel130.prefab,Assets/_Game/Art/Environment/World170/Refit/SolarFoundry/biome.solar-foundry.crown-vessel.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SolarFoundry,biome.solar-foundry.transfer-crane,Assets/_Game/Art/Environment/Quality130/TransferCrane130.prefab,Assets/_Game/Art/Environment/World170/Refit/SolarFoundry/biome.solar-foundry.transfer-crane.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
