sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
acceleration,slow,heading,m05.approach.b,m05.approach.c,,0.000,7.380,3.886,11,3,0.00,0.001,0.504
acceleration,slow,heading,m05.approach.c,m05.west.restore,,2.427,7.380,4.169,14,8,0.00,0.000,-2.909
acceleration,flow,clean,m05.arrival,m05.approach.b,m05.approach.a,14.000,14.000,8.750,10,3,0.00,0.000,1.287
acceleration,flow,clean,m05.approach.b,m05.west.restore,m05.approach.c,14.000,14.000,8.517,14,8,0.00,0.000,-2.580
acceleration,flow,left,m05.arrival,m05.approach.b,m05.approach.a,14.000,14.000,8.750,10,3,0.00,-0.750,1.287
acceleration,flow,left,m05.approach.b,m05.west.restore,m05.approach.c,14.000,14.000,8.516,14,8,3.24,-0.379,-2.589
acceleration,flow,right,m05.arrival,m05.approach.b,m05.approach.a,14.000,14.000,8.750,10,3,0.00,0.750,1.287
acceleration,flow,right,m05.approach.b,m05.west.restore,m05.approach.c,14.000,14.000,8.516,14,8,-3.24,0.379,-2.589
acceleration,flow,early,m05.arrival,m05.approach.b,m05.approach.a,14.000,14.000,8.750,10,3,0.00,0.000,0.937
acceleration,flow,early,m05.approach.b,m05.west.restore,m05.approach.c,14.000,14.000,8.517,14,8,0.00,0.000,-2.930
acceleration,flow,late,m05.arrival,m05.approach.b,m05.approach.a,14.000,14.000,8.750,10,3,0.00,0.000,1.437
acceleration,flow,late,m05.approach.b,m05.west.restore,m05.approach.c,14.000,14.000,8.517,14,8,0.00,0.000,-2.430
acceleration,flow,heading,m05.arrival,m05.approach.b,m05.approach.a,14.000,14.000,8.749,10,3,-2.56,0.613,1.265
acceleration,flow,heading,m05.approach.b,m05.west.restore,m05.approach.c,14.000,14.000,8.514,14,8,-5.33,0.435,-2.607
acceleration,expert,clean,m05.arrival,m05.approach.c,m05.approach.a;m05.approach.b,17.500,17.500,10.938,11,3,0.00,0.000,-0.997
acceleration,expert,clean,m05.approach.c,m05.west.restore,,17.500,17.500,10.646,14,8,0.00,0.000,1.795
acceleration,expert,left,m05.arrival,m05.approach.c,m05.approach.a;m05.approach.b,17.500,17.500,10.938,11,3,0.00,-0.750,-0.997
acceleration,expert,left,m05.approach.c,m05.west.restore,,17.500,17.500,10.645,14,8,2.94,-0.346,1.786
acceleration,expert,right,m05.arrival,m05.approach.c,m05.approach.a;m05.approach.b,17.500,17.500,10.938,11,3,0.00,0.750,-0.997
acceleration,expert,right,m05.approach.c,m05.west.restore,,17.500,17.500,10.645,14,8,-2.94,0.346,1.786
acceleration,expert,early,m05.arrival,m05.approach.c,m05.approach.a;m05.approach.b,17.500,17.500,10.938,11,3,0.00,0.000,-1.347
acceleration,expert,early,m05.approach.c,m05.west.restore,,17.500,17.500,10.646,14,8,0.00,0.000,1.445
acceleration,expert,late,m05.arrival,m05.approach.c,m05.approach.a;m05.approach.b,17.500,17.500,10.938,11,3,0.00,0.000,-0.847
acceleration,expert,late,m05.approach.c,m05.west.restore,,17.500,17.500,10.646,14,8,0.00,0.000,1.945
acceleration,expert,heading,m05.arrival,m05.approach.c,m05.approach.a;m05.approach.b,17.500,17.500,10.936,11,3,-2.79,0.752,-1.024
acceleration,expert,heading,m05.approach.c,m05.west.restore,,17.500,17.500,10.642,14,8,-5.34,0.509,1.761
sweep,slow,clean,m05.west.restore,m05.arc.01,,6.124,7.380,4.596,10,3,0.00,0.000,0.052
sweep,slow,clean,m05.arc.01,m05.arc.02,,6.124,7.380,4.596,10,4,0.00,-0.106,0.488
sweep,slow,clean,m05.arc.02,m05.arc.03,,6.124,7.380,4.596,11,5,0.00,0.058,-0.164
sweep,slow,clean,m05.arc.03,m05.arc.04,,6.124,7.380,4.596,12,3,0.00,-0.068,0.135
sweep,slow,clean,m05.arc.04,m05.arc.05,,6.124,7.380,4.596,12,4,0.00,0.762,-1.122
sweep,slow,clean,m05.arc.05,m05.arc.06,,6.124,7.380,4.596,12,6,0.00,0.655,-1.051
sweep,slow,clean,m05.arc.06,m05.east.restore,,6.124,7.380,4.473,16,11,0.00,2.193,-4.911
sweep,slow,left,m05.west.restore,m05.arc.01,,6.162,7.381,4.597,10,3,1.09,-0.020,0.051
sweep,slow,left,m05.arc.01,m05.arc.02,,6.124,7.380,4.596,10,4,0.00,-0.106,0.475
sweep,slow,left,m05.arc.02,m05.arc.03,,6.124,7.380,4.596,11,5,0.00,0.061,-0.175
sweep,slow,left,m05.arc.03,m05.arc.04,,6.124,7.380,4.596,12,3,0.00,-0.063,0.124
sweep,slow,left,m05.arc.04,m05.arc.05,,6.124,7.380,4.596,12,4,0.00,0.769,-1.132
sweep,slow,left,m05.arc.05,m05.arc.06,,6.124,7.380,4.596,12,6,0.00,0.661,-1.061
sweep,slow,left,m05.arc.06,m05.east.restore,,6.124,7.380,4.473,16,11,0.00,2.177,-4.875
sweep,slow,right,m05.west.restore,m05.arc.01,,6.162,7.381,4.597,10,3,-1.09,0.020,0.051
sweep,slow,right,m05.arc.01,m05.arc.02,,6.124,7.380,4.596,10,4,0.00,-0.103,0.490
sweep,slow,right,m05.arc.02,m05.arc.03,,6.124,7.380,4.596,11,5,0.00,0.058,-0.163
sweep,slow,right,m05.arc.03,m05.arc.04,,6.124,7.380,4.596,12,3,0.00,-0.068,0.136
sweep,slow,right,m05.arc.04,m05.arc.05,,6.124,7.380,4.596,12,4,0.00,0.762,-1.121
sweep,slow,right,m05.arc.05,m05.arc.06,,6.124,7.380,4.596,12,6,0.00,0.654,-1.051
sweep,slow,right,m05.arc.06,m05.east.restore,,6.124,7.380,4.473,16,11,0.00,2.192,-4.910
sweep,slow,early,m05.west.restore,m05.arc.01,,6.124,7.380,4.596,10,3,0.00,0.000,0.059
sweep,slow,early,m05.arc.01,m05.arc.02,,6.124,7.380,4.596,10,4,0.00,-0.108,0.495
sweep,slow,early,m05.arc.02,m05.arc.03,,6.124,7.380,4.596,11,5,0.00,0.055,-0.158
sweep,slow,early,m05.arc.03,m05.arc.04,,6.124,7.380,4.596,12,3,0.00,-0.071,0.141
sweep,slow,early,m05.arc.04,m05.arc.05,,6.124,7.380,4.596,12,4,0.00,0.758,-1.116
sweep,slow,early,m05.arc.05,m05.arc.06,,6.124,7.380,4.596,12,6,0.00,0.651,-1.046
sweep,slow,early,m05.arc.06,m05.east.restore,,6.124,7.380,4.473,16,11,0.00,2.190,-4.905
sweep,slow,late,m05.west.restore,m05.arc.01,,6.535,7.380,4.606,10,3,0.00,0.000,0.165
sweep,slow,late,m05.arc.01,m05.arc.02,,6.124,7.380,4.596,10,4,0.00,-0.110,0.495
sweep,slow,late,m05.arc.02,m05.arc.03,,6.124,7.380,4.596,11,5,0.00,0.055,-0.156
sweep,slow,late,m05.arc.03,m05.arc.04,,6.124,7.380,4.596,12,3,0.00,-0.072,0.142
sweep,slow,late,m05.arc.04,m05.arc.05,,6.124,7.380,4.596,12,4,0.00,0.758,-1.115
sweep,slow,late,m05.arc.05,m05.arc.06,,6.124,7.380,4.596,12,6,0.00,0.650,-1.044
sweep,slow,late,m05.arc.06,m05.east.restore,,6.124,7.380,4.473,16,11,0.00,2.189,-4.904
sweep,slow,heading,m05.west.restore,m05.arc.01,,6.201,7.380,4.598,10,3,-0.49,0.013,0.056
sweep,slow,heading,m05.arc.01,m05.arc.02,,6.124,7.380,4.596,10,4,0.00,-0.108,0.489
sweep,slow,heading,m05.arc.02,m05.arc.03,,6.124,7.380,4.596,11,5,0.00,0.057,-0.162
sweep,slow,heading,m05.arc.03,m05.arc.04,,6.124,7.380,4.596,12,3,0.00,-0.069,0.136
sweep,slow,heading,m05.arc.04,m05.arc.05,,6.124,7.380,4.596,12,4,0.00,0.761,-1.120
sweep,slow,heading,m05.arc.05,m05.arc.06,,6.124,7.380,4.596,12,6,0.02,0.654,-1.050
sweep,slow,heading,m05.arc.06,m05.east.restore,,6.124,7.380,4.473,16,11,0.00,2.192,-4.909
sweep,flow,clean,m05.west.restore,m05.arc.02,m05.arc.01,14.000,14.000,8.732,10,4,-12.48,0.070,-0.281
sweep,flow,clean,m05.arc.02,m05.arc.03,,14.000,14.000,8.733,11,5,-12.11,-0.807,2.087
sweep,flow,clean,m05.arc.03,m05.arc.05,m05.arc.04,14.000,14.000,8.749,12,4,-3.53,2.189,-2.003
sweep,flow,clean,m05.arc.05,m05.arc.06,,14.000,14.000,8.750,12,6,-0.58,1.959,-0.710
sweep,flow,clean,m05.arc.06,m05.east.restore,,14.000,14.000,8.516,16,11,2.34,2.850,-4.618
sweep,flow,left,m05.west.restore,m05.arc.02,m05.arc.01,14.000,14.000,8.732,10,4,-12.48,-0.680,-0.281
sweep,flow,left,m05.arc.02,m05.arc.03,,14.000,14.000,8.738,11,5,-10.04,-1.256,2.191
sweep,flow,left,m05.arc.03,m05.arc.05,m05.arc.04,14.000,14.000,8.747,12,4,-5.26,1.874,-1.835
sweep,flow,left,m05.arc.05,m05.arc.06,,14.000,14.000,8.750,12,6,-0.86,1.666,-0.531
sweep,flow,left,m05.arc.06,m05.east.restore,,14.000,14.000,8.516,16,11,3.16,2.589,-4.422
sweep,flow,right,m05.west.restore,m05.arc.02,m05.arc.01,14.000,14.000,8.732,10,4,-12.48,0.820,-0.281
sweep,flow,right,m05.arc.02,m05.arc.03,,14.000,14.000,8.730,11,5,-13.36,-0.299,1.996
sweep,flow,right,m05.arc.03,m05.arc.05,m05.arc.04,14.000,14.000,8.749,12,4,-2.48,2.617,-2.135
sweep,flow,right,m05.arc.05,m05.arc.06,,14.000,14.000,8.750,12,6,-0.41,2.374,-0.849
sweep,flow,right,m05.arc.06,m05.east.restore,,14.000,14.000,8.517,16,11,1.31,3.238,-4.771
sweep,flow,early,m05.west.restore,m05.arc.02,m05.arc.01,14.000,14.000,8.733,10,4,-11.91,0.125,-0.624
sweep,flow,early,m05.arc.02,m05.arc.03,,14.000,14.000,8.733,11,5,-12.32,-0.673,1.771
sweep,flow,early,m05.arc.03,m05.arc.05,m05.arc.04,14.000,14.000,8.865,12,4,-3.85,2.291,-2.205
sweep,flow,early,m05.arc.05,m05.arc.06,,14.000,14.000,8.633,12,6,-0.61,2.121,-1.013
sweep,flow,early,m05.arc.06,m05.east.restore,,14.000,14.000,8.516,16,11,1.89,3.001,-4.927
sweep,flow,late,m05.west.restore,m05.arc.02,m05.arc.01,14.000,14.000,8.731,10,4,-12.73,0.047,-0.134
sweep,flow,late,m05.arc.02,m05.arc.03,,14.000,14.000,8.733,11,5,-12.01,-0.865,2.222
sweep,flow,late,m05.arc.03,m05.arc.05,m05.arc.04,14.000,14.000,8.749,12,4,-3.40,2.121,-1.873
sweep,flow,late,m05.arc.05,m05.arc.06,,14.000,14.000,8.750,12,6,-0.56,1.890,-0.581
sweep,flow,late,m05.arc.06,m05.east.restore,,14.000,14.000,8.516,16,11,2.54,2.787,-4.486
sweep,flow,heading,m05.west.restore,m05.arc.02,m05.arc.01,14.000,14.000,8.724,10,4,-14.83,0.692,-0.246
sweep,flow,heading,m05.arc.02,m05.arc.03,,14.000,14.000,8.723,11,5,-15.54,-0.235,2.094
sweep,flow,heading,m05.arc.03,m05.arc.05,m05.arc.04,14.000,14.000,8.749,12,4,-2.88,2.710,-2.022
sweep,flow,heading,m05.arc.05,m05.arc.06,,14.000,14.000,8.750,12,6,-0.47,2.473,-0.733
sweep,flow,heading,m05.arc.06,m05.east.restore,,14.000,14.000,8.517,16,11,1.09,3.332,-4.658
sweep,expert,clean,m05.west.restore,m05.arc.02,m05.arc.01,17.500,17.500,10.911,10,4,-13.54,-0.170,1.914
sweep,expert,clean,m05.arc.02,m05.arc.04,m05.arc.03,17.500,17.500,10.919,12,3,-11.49,0.973,0.284
sweep,expert,clean,m05.arc.04,m05.arc.06,m05.arc.05,17.500,17.500,10.936,12,6,-2.89,3.976,-2.325
sweep,expert,clean,m05.arc.06,m05.east.restore,,17.500,17.500,10.646,16,11,-0.48,3.856,-4.325
sweep,expert,left,m05.west.restore,m05.arc.02,m05.arc.01,17.500,17.500,10.911,10,4,-13.54,-0.920,1.914
sweep,expert,left,m05.arc.02,m05.arc.04,m05.arc.03,17.500,17.500,10.919,12,3,-10.90,0.394,0.346
sweep,expert,left,m05.arc.04,m05.arc.06,m05.arc.05,17.500,17.500,10.936,12,6,-3.34,3.451,-2.236
sweep,expert,left,m05.arc.06,m05.east.restore,,17.500,17.500,10.646,16,11,-0.03,3.351,-4.225
sweep,expert,right,m05.west.restore,m05.arc.02,m05.arc.01,17.500,17.500,10.911,10,4,-13.54,0.580,1.914
sweep,expert,right,m05.arc.02,m05.arc.04,m05.arc.03,17.500,17.500,10.920,12,3,-11.64,1.673,0.265
sweep,expert,right,m05.arc.04,m05.arc.06,m05.arc.05,17.500,17.500,10.936,12,6,-2.77,4.661,-2.350
sweep,expert,right,m05.arc.06,m05.east.restore,,17.500,17.500,10.646,16,11,-0.65,4.537,-4.353
sweep,expert,early,m05.west.restore,m05.arc.02,m05.arc.01,17.500,17.500,10.913,10,4,-12.99,-0.108,1.572
sweep,expert,early,m05.arc.02,m05.arc.04,m05.arc.03,17.500,17.500,10.918,12,3,-11.85,1.108,-0.033
sweep,expert,early,m05.arc.04,m05.arc.06,m05.arc.05,17.500,17.500,10.936,12,6,-3.03,4.127,-2.633
sweep,expert,early,m05.arc.06,m05.east.restore,,17.500,17.500,10.646,16,11,-0.61,4.011,-4.631
sweep,expert,late,m05.west.restore,m05.arc.02,m05.arc.01,17.500,17.500,10.910,10,4,-13.78,-0.197,2.060
sweep,expert,late,m05.arc.02,m05.arc.04,m05.arc.03,17.500,17.500,10.920,12,3,-11.33,0.916,0.419
sweep,expert,late,m05.arc.04,m05.arc.06,m05.arc.05,17.500,17.500,10.936,12,6,-2.83,3.911,-2.193
sweep,expert,late,m05.arc.06,m05.east.restore,,17.500,17.500,10.646,16,11,-0.42,3.790,-4.194
sweep,expert,heading,m05.west.restore,m05.arc.02,m05.arc.01,17.500,17.500,10.900,10,4,-15.94,0.600,1.957
sweep,expert,heading,m05.arc.02,m05.arc.04,m05.arc.03,17.500,17.500,10.913,12,3,-13.62,1.949,0.394
sweep,expert,heading,m05.arc.04,m05.arc.06,m05.arc.05,17.500,17.500,10.936,12,6,-3.25,4.995,-2.193
sweep,expert,heading,m05.arc.06,m05.east.restore,,17.500,17.500,10.646,16,11,-0.76,4.884,-4.188
diagonal,slow,clean,m05.east.restore,m05.ascent.a,,5.960,7.787,4.669,14,3,-23.25,1.334,-0.529
diagonal,slow,clean,m05.ascent.a,m05.ascent.b,,6.124,7.380,4.473,14,3.5,0.00,0.297,-0.380
diagonal,slow,clean,m05.ascent.b,m05.ascent.c,,6.124,7.380,4.473,14,4,0.00,0.166,-0.301
diagonal,slow,clean,m05.ascent.c,m05.lens.restore,,6.124,7.380,4.473,20,10,0.00,1.959,-3.527
diagonal,slow,left,m05.east.restore,m05.ascent.a,,6.028,7.629,4.595,14,3,-17.71,0.892,-0.421
diagonal,slow,left,m05.ascent.a,m05.ascent.b,,6.124,7.380,4.473,14,3.5,0.00,0.204,-0.284
diagonal,slow,left,m05.ascent.b,m05.ascent.c,,6.124,7.380,4.473,14,4,0.00,0.151,-0.277
diagonal,slow,left,m05.ascent.c,m05.lens.restore,,6.124,7.380,4.473,20,10,0.00,1.970,-3.546
diagonal,slow,right,m05.east.restore,m05.ascent.a,,5.826,7.785,4.660,14,3,-23.77,1.740,-0.739
diagonal,slow,right,m05.ascent.a,m05.ascent.b,,6.124,7.380,4.473,14,3.5,0.00,0.377,-0.461
diagonal,slow,right,m05.ascent.b,m05.ascent.c,,6.124,7.380,4.473,14,4,0.00,0.171,-0.308
diagonal,slow,right,m05.ascent.c,m05.lens.restore,,6.124,7.380,4.473,20,10,0.00,1.964,-3.534
diagonal,slow,early,m05.east.restore,m05.ascent.a,,6.124,7.380,4.473,14,3,0.00,0.801,-0.957
diagonal,slow,early,m05.ascent.a,m05.ascent.b,,6.124,7.380,4.473,14,3.5,0.00,0.111,-0.176
diagonal,slow,early,m05.ascent.b,m05.ascent.c,,6.124,7.380,4.473,14,4,0.00,0.156,-0.288
diagonal,slow,early,m05.ascent.c,m05.lens.restore,,6.124,7.380,4.473,20,10,0.00,1.976,-3.557
diagonal,slow,late,m05.east.restore,m05.ascent.a,,6.339,8.349,4.956,14,3,-35.38,1.563,-0.070
diagonal,slow,late,m05.ascent.a,m05.ascent.b,,6.124,7.380,4.473,14,3.5,0.00,0.524,-0.578
diagonal,slow,late,m05.ascent.b,m05.ascent.c,,6.124,7.380,4.473,14,4,0.00,0.186,-0.328
diagonal,slow,late,m05.ascent.c,m05.lens.restore,,6.124,7.380,4.473,20,10,0.00,1.975,-3.556
diagonal,slow,heading,m05.east.restore,m05.ascent.a,,5.965,7.891,4.719,14,3,-26.31,1.390,-0.439
diagonal,slow,heading,m05.ascent.a,m05.ascent.b,,6.124,7.380,4.473,14,3.5,0.02,0.337,-0.419
diagonal,slow,heading,m05.ascent.b,m05.ascent.c,,6.124,7.380,4.473,14,4,0.00,0.168,-0.304
diagonal,slow,heading,m05.ascent.c,m05.lens.restore,,6.124,7.380,4.473,20,10,0.00,1.961,-3.529
diagonal,flow,clean,m05.east.restore,m05.ascent.b,m05.ascent.a,13.500,13.500,7.934,14,3.5,-23.82,4.903,-1.316
diagonal,flow,clean,m05.ascent.b,m05.ascent.c,,13.500,13.500,8.211,14,4,-4.18,4.188,0.632
diagonal,flow,clean,m05.ascent.c,m05.lens.restore,,13.500,13.500,8.212,20,10,-0.68,5.223,-1.048
diagonal,flow,left,m05.east.restore,m05.ascent.b,m05.ascent.a,13.500,13.500,7.934,14,3.5,-23.82,4.153,-1.316
diagonal,flow,left,m05.ascent.b,m05.ascent.c,,13.500,13.500,8.211,14,4,-4.18,3.438,0.632
diagonal,flow,left,m05.ascent.c,m05.lens.restore,,13.500,13.500,8.212,20,10,-0.68,4.473,-1.048
diagonal,flow,right,m05.east.restore,m05.ascent.b,m05.ascent.a,13.500,13.500,7.934,14,3.5,-23.82,5.653,-1.316
diagonal,flow,right,m05.ascent.b,m05.ascent.c,,13.500,13.500,8.211,14,4,-4.18,4.938,0.632
diagonal,flow,right,m05.ascent.c,m05.lens.restore,,13.500,13.500,8.212,20,10,-0.68,5.973,-1.048
diagonal,flow,early,m05.east.restore,m05.ascent.b,m05.ascent.a,13.500,13.500,7.934,14,3.5,-23.82,4.903,-1.666
diagonal,flow,early,m05.ascent.b,m05.ascent.c,,13.500,13.500,8.211,14,4,-4.18,4.188,0.282
diagonal,flow,early,m05.ascent.c,m05.lens.restore,,13.500,13.500,8.212,20,10,-0.68,5.223,-1.398
diagonal,flow,late,m05.east.restore,m05.ascent.b,m05.ascent.a,13.500,13.500,7.934,14,3.5,-23.82,4.903,-1.166
diagonal,flow,late,m05.ascent.b,m05.ascent.c,,13.500,13.500,8.211,14,4,-4.18,4.188,0.782
diagonal,flow,late,m05.ascent.c,m05.lens.restore,,13.500,13.500,8.212,20,10,-0.68,5.223,-0.898
diagonal,flow,heading,m05.east.restore,m05.ascent.b,m05.ascent.a,13.500,13.500,7.934,14,3.5,-23.82,5.588,-1.163
diagonal,flow,heading,m05.ascent.b,m05.ascent.c,,13.500,13.500,8.206,14,4,-8.37,5.178,0.924
diagonal,flow,heading,m05.ascent.c,m05.lens.restore,,13.500,13.500,8.212,20,10,-1.35,6.262,-0.730
diagonal,expert,clean,m05.east.restore,m05.ascent.b,m05.ascent.a,17.500,17.500,10.297,14,3.5,-21.30,4.674,1.097
diagonal,expert,clean,m05.ascent.b,m05.lens.restore,m05.ascent.c,17.500,17.500,10.350,20,10,-5.59,8.287,-3.868
diagonal,expert,left,m05.east.restore,m05.ascent.b,m05.ascent.a,17.500,17.500,10.297,14,3.5,-21.30,3.924,1.097
diagonal,expert,left,m05.ascent.b,m05.lens.restore,m05.ascent.c,17.500,17.500,10.350,20,10,-5.59,7.537,-3.868
diagonal,expert,right,m05.east.restore,m05.ascent.b,m05.ascent.a,17.500,17.500,10.297,14,3.5,-21.30,5.424,1.097
diagonal,expert,right,m05.ascent.b,m05.lens.restore,m05.ascent.c,17.500,17.500,10.350,20,10,-5.59,9.037,-3.868
diagonal,expert,early,m05.east.restore,m05.ascent.b,m05.ascent.a,17.500,17.500,10.297,14,3.5,-21.30,4.674,0.747
diagonal,expert,early,m05.ascent.b,m05.lens.restore,m05.ascent.c,17.500,17.500,10.350,20,10,-5.59,8.287,-4.218
diagonal,expert,late,m05.east.restore,m05.ascent.b,m05.ascent.a,17.500,17.500,10.297,14,3.5,-21.30,4.674,1.247
diagonal,expert,late,m05.ascent.b,m05.lens.restore,m05.ascent.c,17.500,17.500,10.350,20,10,-5.59,8.287,-3.718
diagonal,expert,heading,m05.east.restore,m05.ascent.b,m05.ascent.a,17.500,17.500,10.297,14,3.5,-21.30,5.569,1.261
diagonal,expert,heading,m05.ascent.b,m05.lens.restore,m05.ascent.c,17.500,17.500,10.343,20,10,-9.30,9.647,-3.512
final,slow,clean,m05.lens.restore,m05.lens.a,,6.124,7.380,4.596,10,3,0.00,0.000,0.052
final,slow,clean,m05.lens.a,m05.lens.b,,6.124,7.380,4.596,11,4,0.00,0.000,0.556
final,slow,clean,m05.lens.b,m05.lens.c,,6.124,7.380,4.596,12,4,0.00,0.000,0.059
final,slow,clean,m05.lens.c,m05.patch.base,,6.124,7.380,4.596,14,10,0.00,0.000,-2.927
final,slow,left,m05.lens.restore,m05.lens.a,,6.162,7.381,4.597,10,3,1.09,-0.020,0.051
final,slow,left,m05.lens.a,m05.lens.b,,6.124,7.380,4.596,11,4,0.00,-0.004,0.550
final,slow,left,m05.lens.b,m05.lens.c,,6.124,7.380,4.596,12,4,0.00,0.000,0.054
final,slow,left,m05.lens.c,m05.patch.base,,6.124,7.380,4.596,14,10,0.00,0.000,-2.933
final,slow,right,m05.lens.restore,m05.lens.a,,6.162,7.381,4.597,10,3,-1.09,0.020,0.051
final,slow,right,m05.lens.a,m05.lens.b,,6.124,7.380,4.596,11,4,0.00,0.004,0.550
final,slow,right,m05.lens.b,m05.lens.c,,6.124,7.380,4.596,12,4,0.00,0.000,0.054
final,slow,right,m05.lens.c,m05.patch.base,,6.124,7.380,4.596,14,10,0.00,0.000,-2.933
final,slow,early,m05.lens.restore,m05.lens.a,,6.124,7.380,4.596,10,3,0.00,0.000,0.059
final,slow,early,m05.lens.a,m05.lens.b,,6.124,7.380,4.596,11,4,0.00,0.000,0.563
final,slow,early,m05.lens.b,m05.lens.c,,6.124,7.380,4.596,12,4,0.00,0.000,0.066
final,slow,early,m05.lens.c,m05.patch.base,,6.124,7.380,4.596,14,10,0.00,0.000,-2.920
final,slow,late,m05.lens.restore,m05.lens.a,,6.535,7.380,4.606,10,3,0.00,0.000,0.165
final,slow,late,m05.lens.a,m05.lens.b,,6.124,7.380,4.596,11,4,0.00,0.000,0.566
final,slow,late,m05.lens.b,m05.lens.c,,6.124,7.380,4.596,12,4,0.00,0.000,0.070
final,slow,late,m05.lens.c,m05.patch.base,,6.124,7.380,4.596,14,10,0.00,0.000,-2.916
final,slow,heading,m05.lens.restore,m05.lens.a,,6.201,7.380,4.598,10,3,-0.49,0.013,0.056
final,slow,heading,m05.lens.a,m05.lens.b,,6.124,7.380,4.596,11,4,0.00,-0.002,0.560
final,slow,heading,m05.lens.b,m05.lens.c,,6.124,7.380,4.596,12,4,0.00,0.000,0.064
final,slow,heading,m05.lens.c,m05.patch.base,,6.124,7.380,4.596,14,10,0.00,0.000,-2.923
final,flow,clean,m05.lens.restore,m05.lens.b,m05.lens.a,13.500,13.500,8.438,11,4,0.00,0.000,-0.530
final,flow,clean,m05.lens.b,m05.lens.c,,13.500,13.500,8.438,12,4,0.00,0.000,2.020
final,flow,clean,m05.lens.c,m05.patch.base,,13.500,13.500,8.438,14,10,0.00,0.000,1.570
final,flow,left,m05.lens.restore,m05.lens.b,m05.lens.a,13.500,13.500,8.438,11,4,0.00,-0.750,-0.530
final,flow,left,m05.lens.b,m05.lens.c,,13.500,13.500,8.436,12,4,3.26,-0.372,2.010
final,flow,left,m05.lens.c,m05.patch.base,,13.500,13.500,8.437,14,10,-2.01,-0.028,1.553
final,flow,right,m05.lens.restore,m05.lens.b,m05.lens.a,13.500,13.500,8.438,11,4,0.00,0.750,-0.530
final,flow,right,m05.lens.b,m05.lens.c,,13.500,13.500,8.436,12,4,-3.26,0.372,2.010
final,flow,right,m05.lens.c,m05.patch.base,,13.500,13.500,8.437,14,10,2.01,0.028,1.553
final,flow,early,m05.lens.restore,m05.lens.b,m05.lens.a,13.500,13.500,8.437,11,4,0.00,0.000,-0.880
final,flow,early,m05.lens.b,m05.lens.c,,13.500,13.500,8.438,12,4,0.00,0.000,1.670
final,flow,early,m05.lens.c,m05.patch.base,,13.500,13.500,8.438,14,10,0.00,0.000,1.220
final,flow,late,m05.lens.restore,m05.lens.b,m05.lens.a,13.500,13.500,8.437,11,4,0.00,0.000,-0.380
final,flow,late,m05.lens.b,m05.lens.c,,13.500,13.500,8.438,12,4,0.00,0.000,2.170
final,flow,late,m05.lens.c,m05.patch.base,,13.500,13.500,8.438,14,10,0.00,0.000,1.720
